Unnamed: 0,task_types,graph_url,item_ids,graph_types,answer_1,answer_2,answer_3,answer_4,question,graph_types_ctl,task_types_ctl,test_name,open_answer,prop_correct,controlled
0,elementary,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/line.png,WAN_1,line,30 mm,40 mm,50 mm ,60 mm,How much does it rain in March?,line,elementary,WAN,multiple-choice,0.8967551622418879,1
1,elementary,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/line.png,WAN_2,line,March,April,October,November,Which month has 25 mm of rain?,line,elementary,WAN,multiple-choice,0.8849206349206349,1
2,elementary,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/line.png,WAN_3,line,5,6,7,8,How many months have less than 40mm of rain?,line,elementary,WAN,multiple-choice,0.47470817120622566,1
3,comprehensive,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/line.png,WAN_4,line,Winter,Spring,Summer,Fall,Which season has the most rain?,line,comprehensive,WAN,multiple-choice,0.9254901960784314,1
4,intermediate,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/line.png,WAN_5,line,Winter,Spring,Summer,Fall,In which season does each month have less rain than the month before?,line,intermediate,WAN,multiple-choice,0.5118110236220472,1
5,comprehensive,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/line.png,WAN_6,line,More in the summer,More in the spring,,,"Which season has more rain, the summer or the spring?",line,comprehensive,WAN,multiple-choice,0.9215686274509803,1
6,comprehensive,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/line.png,WAN_7,line,4,5,6,7,How many months have more rain than the average month?,line,comprehensive,WAN,multiple-choice,0.7748091603053435,1
7,intermediate,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/line.png,WAN_8,line,True,False,,,"In San Francisco, as the weather gets warmer, there is generally more rain.",line,intermediate,WAN,multiple-choice,0.832,1
8,elementary,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/bar.png,WAN_9,bar,30 mm,40 mm,50 mm ,60 mm,How much does it rain in March?,bar,elementary,WAN,multiple-choice,0.8967551622418879,1
9,elementary,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/bar.png,WAN_10,bar,March,April,October,November,Which month has 25 mm of rain?,bar,elementary,WAN,multiple-choice,0.8849206349206349,1
10,elementary,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/bar.png,WAN_11,bar,5,6,7,8,How many months have less than 40mm of rain?,bar,elementary,WAN,multiple-choice,0.47470817120622566,1
11,comprehensive,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/bar.png,WAN_12,bar,Winter,Spring,Summer,Fall,Which season has the most rain?,bar,comprehensive,WAN,multiple-choice,0.9254901960784314,1
12,intermediate,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/bar.png,WAN_13,bar,Winter,Spring,Summer,Fall,In which season does each month have less rain than the month before?,bar,intermediate,WAN,multiple-choice,0.5118110236220472,1
13,comprehensive,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/bar.png,WAN_14,bar,More in the summer,More in the spring,,,"Which season has more rain, the summer or the spring?",bar,comprehensive,WAN,multiple-choice,0.9215686274509803,1
14,comprehensive,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/bar.png,WAN_15,bar,4,5,6,7,How many months have more rain than the average month?,bar,comprehensive,WAN,multiple-choice,0.7748091603053435,1
15,intermediate,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/bar.png,WAN_16,bar,True,False,,,"In San Francisco, as the weather gets warmer, there is generally more rain.",bar,intermediate,WAN,multiple-choice,0.832,1
16,elementary,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/radial.png,WAN_17,radial,30 mm,40 mm,50 mm ,60 mm,How much does it rain in March?,radial,elementary,WAN,multiple-choice,0.8967551622418879,1
17,elementary,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/radial.png,WAN_18,radial,March,April,October,November,Which month has 25 mm of rain?,radial,elementary,WAN,multiple-choice,0.8849206349206349,1
18,elementary,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/wainer/images/radial.png,WAN_19,radial,5,6,7,8,How many months have less than 40mm of rain?,radial,elementary,WAN,multiple-choice,0.47470817120622566,1
