Unnamed: 0,answer_1,answer_2,answer_3,answer_4,graph_types,graph_types_ctl,graph_url,item_ids,open_answer,prop_correct,question,task_types,task_types_ctl,test_name,controlled
0,$57.36,$47.82,$50.24,$39.72,Line Chart,Line Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item1.png,VLAT_1,multiple-choice,0.9069767441860465,What was the price of a barrel of oil in February 2015?,retrieve_value,retrieve_value,VLAT,1
1,March,May,July,December,Line Chart,Line Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item2.png,VLAT_2,multiple-choice,0.9548802946593,In which month was the price of a barrel of oil the lowest in 2015?,find_extremum,find_extremum,VLAT,1
2,$35 - $65,$48.36 - $60.95,$37.04 - $48.36,$37.04 - $60.95,Line Chart,Line Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item3.png,VLAT_3,multiple-choice,0.5421686746987951,What was the price range of a barrel of oil in 2015?,determine_Range,determine_Range,VLAT,1
3,rising,falling,staying,Skip,Line Chart,Line Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item4.png,VLAT_4,multiple-choice,0.9418604651162791,"Over the course of the second half of 2015, the price of a barrel of oil was ____________.",find_correlations_trends,find_correlations_trends,VLAT,1
4,$5.00,$15.00,$17.00,$45.00,Line Chart,Line Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item5.png,VLAT_5,multiple-choice,0.7840909090909091,About how much did the price of a barrel of oil fall from April to September in 2015?,make_comparisons,make_comparisons,VLAT,1
5,10 Mbps,14 Mbps,15 Mbps,16 Mbps,Bar Chart,Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item6.png,VLAT_6,multiple-choice,0.8313253012048193,What is the average internet speed in Japan?,retrieve_value,retrieve_value,VLAT,1
6,China,Hong Kong,South Korea,Vietnam,Bar Chart,Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item7.png,VLAT_7,multiple-choice,0.9761904761904762,In which country is the average internet speed the fastest in Asia?,find_extremum,find_extremum,VLAT,1
7,0 - 22 Mbps,2 - 20.5 Mbps,3 - 20 Mbps,3.4 - 7.8 Mbps,Bar Chart,Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item8.png,VLAT_8,multiple-choice,0.575,What is the range of the average internet speed in Asia?,determine_Range,determine_Range,VLAT,1
8,5 countries,6 countries,7 countries,8 countries,Bar Chart,Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item9.png,VLAT_9,multiple-choice,0.3968692449355432,How many countries in Asia is the average internet speed slower than Thailand?,make_comparisons,make_comparisons,VLAT,1
9,$12.00,$16.70,$23.40,$35.40,Stacked Bar Chart,Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item10.png,VLAT_10,multiple-choice,0.27710843373493976,What is the cost of peanuts in Las Vegas?,retrieve_value,retrieve_value,VLAT,1
10,1 to 10,2 to 10,4 to 10,6 to 10,Stacked Bar Chart,Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item11.png,VLAT_11,multiple-choice,0.49411764705882355,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle?,retrieve_value,retrieve_value,VLAT,1
11,New York City,Las Vegas,Atlanta,Washington D.C.,Stacked Bar Chart,Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item12.png,VLAT_12,multiple-choice,0.5348837209302325,In which city is the cost of soda the highest?,find_extremum,find_extremum,VLAT,1
12,True,False,Skip,,Stacked Bar Chart,Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item14.png,VLAT_13,multiple-choice,0.5349907918968693,The cost of vodka in Atlanta is higher than that of Honolulu.,make_comparisons,make_comparisons,VLAT,1
13,True,False,Skip,,Stacked Bar Chart,Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item15.png,VLAT_14,multiple-choice,0.7674418604651163,The ratio of the cost of Soda to the cost of Water in Orlando is higher than that of Washington D.C.,make_comparisons,make_comparisons,VLAT,1
14,38%,47%,53%,62%,100 % Stacked Bar Chart,100 % Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item16.png,VLAT_15,multiple-choice,0.5393258426966292,What is the approval rating of Republicans among the people who have the education level of Postgraduate Study?,retrieve_value,retrieve_value,VLAT,1
15,High School Graduate or Less,Some College Degree,College Graduate,Postgraduate study,100 % Stacked Bar Chart,100 % Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item17.png,VLAT_16,multiple-choice,0.8333333333333334,What is the education level of people in which the Democrats have the lowest approval rating?,find_extremum,find_extremum,VLAT,1
16,True,False,Skip,,100 % Stacked Bar Chart,100 % Stacked Bar Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item18.png,VLAT_17,multiple-choice,0.6841620626151013,The approval rating of Republicans for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.,make_comparisons,make_comparisons,VLAT,1
17,15%,25%,33%,50%,Pie Chart,Pie Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item19.png,VLAT_18,multiple-choice,0.6190476190476191,About what is the global smartphone market share of Samsung?,retrieve_value,retrieve_value,VLAT,1
18,Apple,Xiaomi,Lenovo,Others,Pie Chart,Pie Chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/vlat/images/item20.png,VLAT_19,multiple-choice,0.9882352941176471,In which company is the global smartphone market share the smallest?,find_extremum,find_extremum,VLAT,1
