Unnamed: 0,task_types,graph_url,item_ids,graph_types,question,graph_types_ctl,task_types_ctl,test_name,open_answer,prop_correct,controlled
0,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetnone_reorderalph_colorgrey20.png,HOLF_1,barchart,"On average, what is the rating of Action movies?",Bar chart,retrieve_value,HOLF,open-answer,0.9333333333333333,1
1,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/storms/storms_x1status_facetname_reorderalph_colorgrey20.png,HOLF_2,barchart,"On average, how many miles per hour are storms categorized as tropical storms?",Bar chart,retrieve_value,HOLF,open-answer,0.5333333333333333,1
2,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetsize_reorderalph_colorgrey20.png,HOLF_3,barchart,"On average, how many orders of large pepperoni pizzas are made?",Bar chart,retrieve_value,HOLF,open-answer,0.8,1
3,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1state_facetsex_reorderalph_colorgrey20.png,HOLF_4,barchart,"On average, how long does it take women from DC to complete the race?",Bar chart,retrieve_value,HOLF,open-answer,1.0,1
4,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1carrier_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_5,barchart,"On average, how much further do American Airline flights departing from JFK travel compared to when they are departing from LaGuardia?",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
5,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1class_type_facetgrade_reorderlarge_to_small_colorgrey20.png,HOLF_6,barchart,"Within small classrooms, how much higher are reading scores between the grade with the highest score compared to the grade with the lowest score?",Bar chart,determine_range,HOLF,open-answer,0.5333333333333333,1
6,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1happy_facetregion_reorderlarge_to_small_colorgrey20.png,HOLF_7,barchart,"On average, what is the education level of people who report being pretty happy?",Bar chart,retrieve_value,HOLF,open-answer,0.8666666666666667,1
7,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1decade_facetoccRole_reorderlarge_to_small_colorgrey20.png,HOLF_8,barchart,"On average, what was the injury severity level of drivers in the 1990s?",Bar chart,retrieve_value,HOLF,open-answer,0.5333333333333333,1
8,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,HOLF_9,barchart,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,Bar chart,determine_range,HOLF,open-answer,0.0,1
9,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1state_facetsex_reorderalph_colorgrey20.png,HOLF_10,barchart,"On average, how long does it take women to complete the race?",Bar chart,retrieve_value,HOLF,open-answer,0.9166666666666666,1
10,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1grade_facetnone_reorderlarge_to_small_colorgrey20.png,HOLF_11,barchart,"Within small classrooms, how much higher are reading scores between the grade with the highest score compared to the grade with the lowest score?",Bar chart,determine_range,HOLF,open-answer,0.75,1
11,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1origin_facetnone_reorderalph_colorgrey20.png,HOLF_12,barchart,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,Bar chart,determine_range,HOLF,open-answer,0.0,1
12,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1grade_facetclass_type_reorderalph_colorgrey20.png,HOLF_13,barchart,How much higher are reading scores between the grade with the highest scores compared to the grade with the lowest score?,Bar chart,determine_range,HOLF,open-answer,0.16666666666666666,1
13,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1origin_facetcarrier_reorderlarge_to_small_colorgrey20.png,HOLF_14,barchart,"On average, what is the distance that American Airlines travels when departing from JFK?",Bar chart,retrieve_value,HOLF,open-answer,0.7272727272727273,1
14,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetnone_reorderalph_colorgrey20.png,HOLF_15,barchart,"On average, how many more orders of large pepperoni pizzas are made compared to large Hawaiian pizzas?",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
15,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/storms/storms_x1name_facetnone_reorderalph_colorgrey20.png,HOLF_16,barchart,How many miles per hour faster was the fastest storm compared to the slowest storm?,Bar chart,determine_range,HOLF,open-answer,0.5,1
16,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1happy_facetregion_reorderlarge_to_small_colorgrey20.png,HOLF_17,barchart,How much higher are education levels between the region with the highest education level compared to the region with the lowest education level?,Bar chart,determine_range,HOLF,open-answer,0.0,1
17,determine_range,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1occRole_facetdecade_reorderlarge_to_small_colorgrey20.png,HOLF_18,barchart,"Within of injuries involving backseat passengers, how much higher is the injury severity level in the decade with the higher severity compared to the decade with the lower severity? ",Bar chart,determine_range,HOLF,open-answer,0.75,1
18,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1decade_facetgenre_reorderalph_colorgrey20.png,HOLF_19,barchart,"On average, how much higher are ratings of Drama movies compared to the Comedy movies? ",Bar chart,make_comparisons,HOLF,open-answer,0.0,1
19,make_comparisons,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1state_facetsex_reorderlarge_to_small_colorgrey20.png,HOLF_20,barchart,"On average, how much longer does it take women to complete the race relative to men? ",Bar chart,make_comparisons,HOLF,open-answer,0.3333333333333333,1
20,retrieve_value,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,HOLF_21,barchart,"On average, how many orders of large pepperoni pizzas are made?",Bar chart,retrieve_value,HOLF,open-answer,0.9090909090909091,1
