task_types_comb,question
true_false_statement,The overall proportion of Thriller movies produced was higher than Action movies.
true_false_statement,"In general, Crime movies received higher scores than Comedy movies."
true_false_statement,Paramount produced twice as many movies as Miramax.
true_false_statement,Does cell phone brand A have more than half of the total market share?
true_false_statement,The cost of vodka in Atlanta is higher than that of Honolulu.
true_false_statement,The ratio of the cost of Soda to the cost of Water in Orlando is higher than that of Washington D.C.
true_false_statement,The approval rating of Republicans for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.
true_false_statement,The global smartphone market share of Apple is larger than that of Huawei.
true_false_statement,More people have rated the taxi between 4.6 and 4.8 than between 4.2 and 4.4.
true_false_statement,A group of males are gathered around the height of 176 cm and the weight of 70 kg.
true_false_statement,The weights for males with the height of 188 cm are all the same.
true_false_statement,True or False: Monthly sales for store B is increasing from Jan to Dec.
true_false_statement,"In the UK, the number of girls named 'Amelia' in 2014 was more than it was in 2013."
true_false_statement,"Over the course of years between 2009 and 2014, the number of girls named 'Isla' was always more than 'Olivia'."
true_false_statement,A group of the metro systems of the world has approximately 300 stations and around a 200km system length.
true_false_statement,"In general, the ridership of the metro system increases as the number of stations increases."
true_false_statement,The metro system in Shanghai has more ridership than the metro system in Beijing.
true_false_statement,"In 2015, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI)."
true_false_statement,The number of unique visitors for Amazon was more than that of Yahoo in 2010.
true_false_statement,Samsung is nested in the Financial category.
true_false_statement,"In San Francisco, as the weather gets warmer, there is generally more rain."
true_false_statement,True or False: Predatory species Z is more prevalent in NC than in AZ.
true_false_statement,True or False: WY has a higher risk of bacteria Z infection than ND.
true_false_statement,True or False: The annual number of trees planted in town Z has been increasing from 1960 to 1980.
true_false_statement,True or False: The number of visitors at airport X is decreasing from 2000 to 2005.
true_false_statement,True or False: GDP per capita for country Z grew faster from 2000 to 2003 than from 2005 to 2008.
true_false_statement,"True or False: Within each town, is there a negative relationship between average daily working hours and happiness score?"
true_false_statement,"True or False: If the temperature gets higher than 100°F, then the bottles of water sold must be greater than 750."
true_false_statement,True or False: More than half of the people in county Z prefer reading at night.
true_false_statement,There is a negative linear relationship between the height and the weight of the 85 males.
select_statement,Which of the following is true about the annual number of new movies released in city X?
select_statement,Which of the following is true about company Z?
select_statement,Which of the following is true about the prevalence of the plant species Y?
select_statement,Which of the following is true about the three brands of shampoo in city Y from 2001 to 2005?
select_statement,"Company A sells a board game. Assuming today is Jun 01, 2022, which of the following statements is true?"
select_statement,"Assuming today is Feb 20, 2022, which of the following is true about the vegetables planted by the three farms?"
select_statement,"Assuming today is May 01, 2022, which of the following statements is true?"
select_statement,"The residents of town Y are voting on a favorite hiking trail, and half of the votes have been counted. The poll closes on Sep 01, 2022. Which of the following is true?"
select_statement,Which of the following statements is true about the customers at the three bike shops in city Z?
